competitionDate,discipline,Hour
24/7/2021,3x3 Basketball,10
24/7/2021,3x3 Basketball,11
24/7/2021,3x3 Basketball,12
24/7/2021,3x3 Basketball,14
24/7/2021,3x3 Basketball,15
24/7/2021,3x3 Basketball,17
24/7/2021,3x3 Basketball,18
24/7/2021,3x3 Basketball,19
24/7/2021,3x3 Basketball,21
24/7/2021,3x3 Basketball,22
25/7/2021,3x3 Basketball,10
25/7/2021,3x3 Basketball,11
25/7/2021,3x3 Basketball,12
25/7/2021,3x3 Basketball,13
25/7/2021,3x3 Basketball,14
25/7/2021,3x3 Basketball,15
25/7/2021,3x3 Basketball,17
25/7/2021,3x3 Basketball,18
25/7/2021,3x3 Basketball,19
25/7/2021,3x3 Basketball,21
25/7/2021,3x3 Basketball,22
26/7/2021,3x3 Basketball,10
26/7/2021,3x3 Basketball,11
26/7/2021,3x3 Basketball,12
26/7/2021,3x3 Basketball,14
26/7/2021,3x3 Basketball,15
26/7/2021,3x3 Basketball,17
26/7/2021,3x3 Basketball,18
26/7/2021,3x3 Basketball,19
26/7/2021,3x3 Basketball,20
26/7/2021,3x3 Basketball,21
26/7/2021,3x3 Basketball,22
27/7/2021,3x3 Basketball,13
27/7/2021,3x3 Basketball,14
27/7/2021,3x3 Basketball,15
27/7/2021,3x3 Basketball,17
27/7/2021,3x3 Basketball,18
27/7/2021,3x3 Basketball,20
27/7/2021,3x3 Basketball,21
27/7/2021,3x3 Basketball,22
28/7/2021,3x3 Basketball,17
28/7/2021,3x3 Basketball,18
28/7/2021,3x3 Basketball,20
28/7/2021,3x3 Basketball,21
28/7/2021,3x3 Basketball,22
23/7/2021,Archery,9
23/7/2021,Archery,10
23/7/2021,Archery,13
23/7/2021,Archery,14
24/7/2021,Archery,9
24/7/2021,Archery,10
24/7/2021,Archery,11
24/7/2021,Archery,14
24/7/2021,Archery,15
24/7/2021,Archery,16
25/7/2021,Archery,9
25/7/2021,Archery,10
25/7/2021,Archery,11
25/7/2021,Archery,13
25/7/2021,Archery,14
25/7/2021,Archery,15
25/7/2021,Archery,16
26/7/2021,Archery,9
26/7/2021,Archery,10
26/7/2021,Archery,11
26/7/2021,Archery,13
26/7/2021,Archery,14
26/7/2021,Archery,15
26/7/2021,Archery,16
27/7/2021,Archery,11
27/7/2021,Archery,12
27/7/2021,Archery,13
27/7/2021,Archery,14
27/7/2021,Archery,15
28/7/2021,Archery,9
28/7/2021,Archery,10
28/7/2021,Archery,11
28/7/2021,Archery,12
28/7/2021,Archery,13
28/7/2021,Archery,14
28/7/2021,Archery,15
28/7/2021,Archery,16
28/7/2021,Archery,17
28/7/2021,Archery,18
28/7/2021,Archery,19
29/7/2021,Archery,9
29/7/2021,Archery,10
29/7/2021,Archery,11
29/7/2021,Archery,12
29/7/2021,Archery,13
29/7/2021,Archery,14
29/7/2021,Archery,15
29/7/2021,Archery,16
29/7/2021,Archery,17
29/7/2021,Archery,18
30/7/2021,Archery,9
30/7/2021,Archery,10
30/7/2021,Archery,11
30/7/2021,Archery,14
30/7/2021,Archery,15
30/7/2021,Archery,16
31/7/2021,Archery,9
31/7/2021,Archery,10
31/7/2021,Archery,11
31/7/2021,Archery,10
31/7/2021,Archery,15
31/7/2021,Archery,16
24/7/2021,Artistic Gymnastics,10
24/7/2021,Artistic Gymnastics,11
24/7/2021,Artistic Gymnastics,12
24/7/2021,Artistic Gymnastics,14
24/7/2021,Artistic Gymnastics,15
24/7/2021,Artistic Gymnastics,16
24/7/2021,Artistic Gymnastics,17
24/7/2021,Artistic Gymnastics,19
24/7/2021,Artistic Gymnastics,20
24/7/2021,Artistic Gymnastics,21
25/7/2021,Artistic Gymnastics,10
25/7/2021,Artistic Gymnastics,11
25/7/2021,Artistic Gymnastics,12
25/7/2021,Artistic Gymnastics,13
25/7/2021,Artistic Gymnastics,15
25/7/2021,Artistic Gymnastics,16
25/7/2021,Artistic Gymnastics,17
25/7/2021,Artistic Gymnastics,18
25/7/2021,Artistic Gymnastics,20
25/7/2021,Artistic Gymnastics,21
26/7/2021,Artistic Gymnastics,19
26/7/2021,Artistic Gymnastics,20
26/7/2021,Artistic Gymnastics,21
27/7/2021,Artistic Gymnastics,19
27/7/2021,Artistic Gymnastics,20
27/7/2021,Artistic Gymnastics,21
28/7/2021,Artistic Gymnastics,19
28/7/2021,Artistic Gymnastics,20
28/7/2021,Artistic Gymnastics,21
28/7/2021,Artistic Gymnastics,22
29/7/2021,Artistic Gymnastics,19
29/7/2021,Artistic Gymnastics,20
29/7/2021,Artistic Gymnastics,21
1/8/2021,Artistic Gymnastics,17
1/8/2021,Artistic Gymnastics,18
1/8/2021,Artistic Gymnastics,19
1/8/2021,Artistic Gymnastics,20
2/8/2021,Artistic Gymnastics,17
2/8/2021,Artistic Gymnastics,18
2/8/2021,Artistic Gymnastics,19
3/8/2021,Artistic Gymnastics,17
3/8/2021,Artistic Gymnastics,18
3/8/2021,Artistic Gymnastics,19
2/8/2021,Artistic Swimming,19
2/8/2021,Artistic Swimming,20
2/8/2021,Artistic Swimming,21
3/8/2021,Artistic Swimming,19
3/8/2021,Artistic Swimming,20
3/8/2021,Artistic Swimming,21
4/8/2021,Artistic Swimming,19
4/8/2021,Artistic Swimming,20
6/8/2021,Artistic Swimming,19
6/8/2021,Artistic Swimming,20
7/8/2021,Artistic Swimming,19
7/8/2021,Artistic Swimming,20
30/7/2021,Athletics,9
30/7/2021,Athletics,10
30/7/2021,Athletics,11
30/7/2021,Athletics,12
30/7/2021,Athletics,13
30/7/2021,Athletics,19
30/7/2021,Athletics,20
30/7/2021,Athletics,21
31/7/2021,Athletics,9
31/7/2021,Athletics,10
31/7/2021,Athletics,11
31/7/2021,Athletics,12
31/7/2021,Athletics,19
31/7/2021,Athletics,20
31/7/2021,Athletics,21
1/8/2021,Athletics,9
1/8/2021,Athletics,10
1/8/2021,Athletics,11
1/8/2021,Athletics,19
1/8/2021,Athletics,20
1/8/2021,Athletics,21
2/8/2021,Athletics,9
2/8/2021,Athletics,10
2/8/2021,Athletics,11
2/8/2021,Athletics,19
2/8/2021,Athletics,20
2/8/2021,Athletics,21
2/8/2021,Athletics,22
3/8/2021,Athletics,9
3/8/2021,Athletics,10
3/8/2021,Athletics,11
3/8/2021,Athletics,12
3/8/2021,Athletics,19
3/8/2021,Athletics,20
3/8/2021,Athletics,21
3/8/2021,Athletics,22
4/8/2021,Athletics,9
4/8/2021,Athletics,10
4/8/2021,Athletics,11
4/8/2021,Athletics,12
4/8/2021,Athletics,18
4/8/2021,Athletics,19
4/8/2021,Athletics,20
4/8/2021,Athletics,21
5/8/2021,Athletics,9
5/8/2021,Athletics,9
5/8/2021,Athletics,9
5/8/2021,Athletics,9
5/8/2021,Athletics,9
5/8/2021,Athletics,9
5/8/2021,Athletics,9
5/8/2021,Athletics,9
5/8/2021,Athletics,10
5/8/2021,Athletics,10
5/8/2021,Athletics,10
5/8/2021,Athletics,11
5/8/2021,Athletics,11
5/8/2021,Athletics,11
5/8/2021,Athletics,11
5/8/2021,Athletics,11
5/8/2021,Athletics,12
5/8/2021,Athletics,12
5/8/2021,Athletics,12
5/8/2021,Athletics,13
5/8/2021,Athletics,16
5/8/2021,Athletics,19
5/8/2021,Athletics,19
5/8/2021,Athletics,19
5/8/2021,Athletics,19
5/8/2021,Athletics,20
5/8/2021,Athletics,20
5/8/2021,Athletics,20
5/8/2021,Athletics,21
5/8/2021,Athletics,21
5/8/2021,Athletics,21
5/8/2021,Athletics,21
6/8/2021,Athletics,5
6/8/2021,Athletics,6
6/8/2021,Athletics,7
6/8/2021,Athletics,8
6/8/2021,Athletics,9
6/8/2021,Athletics,16
6/8/2021,Athletics,17
6/8/2021,Athletics,18
6/8/2021,Athletics,20
6/8/2021,Athletics,21
6/8/2021,Athletics,22
7/8/2021,Athletics,6
7/8/2021,Athletics,7
7/8/2021,Athletics,8
7/8/2021,Athletics,9
7/8/2021,Athletics,19
7/8/2021,Athletics,20
7/8/2021,Athletics,21
8/8/2021,Athletics,7
8/8/2021,Athletics,8
8/8/2021,Athletics,9
24/7/2021,Badminton,9
24/7/2021,Badminton,10
24/7/2021,Badminton,11
24/7/2021,Badminton,12
24/7/2021,Badminton,13
24/7/2021,Badminton,14
24/7/2021,Badminton,15
24/7/2021,Badminton,18
24/7/2021,Badminton,19
24/7/2021,Badminton,20
24/7/2021,Badminton,21
24/7/2021,Badminton,22
25/7/2021,Badminton,8
25/7/2021,Badminton,9
25/7/2021,Badminton,10
25/7/2021,Badminton,11
25/7/2021,Badminton,12
25/7/2021,Badminton,13
25/7/2021,Badminton,14
25/7/2021,Badminton,15
25/7/2021,Badminton,16
26/7/2021,Badminton,9
26/7/2021,Badminton,10
26/7/2021,Badminton,11
26/7/2021,Badminton,12
26/7/2021,Badminton,13
26/7/2021,Badminton,14
26/7/2021,Badminton,15
26/7/2021,Badminton,18
26/7/2021,Badminton,19
26/7/2021,Badminton,20
26/7/2021,Badminton,21
27/7/2021,Badminton,10
27/7/2021,Badminton,11
27/7/2021,Badminton,12
27/7/2021,Badminton,13
27/7/2021,Badminton,14
27/7/2021,Badminton,15
27/7/2021,Badminton,16
27/7/2021,Badminton,18
27/7/2021,Badminton,19
27/7/2021,Badminton,20
27/7/2021,Badminton,21
28/7/2021,Badminton,9
28/7/2021,Badminton,10
28/7/2021,Badminton,11
28/7/2021,Badminton,12
28/7/2021,Badminton,13
28/7/2021,Badminton,14
28/7/2021,Badminton,18
28/7/2021,Badminton,19
28/7/2021,Badminton,20
28/7/2021,Badminton,21
28/7/2021,Badminton,22
29/7/2021,Badminton,9
29/7/2021,Badminton,10
29/7/2021,Badminton,11
29/7/2021,Badminton,12
29/7/2021,Badminton,13
29/7/2021,Badminton,17
29/7/2021,Badminton,18
29/7/2021,Badminton,19
29/7/2021,Badminton,20
29/7/2021,Badminton,21
30/7/2021,Badminton,9
30/7/2021,Badminton,10
30/7/2021,Badminton,11
30/7/2021,Badminton,12
30/7/2021,Badminton,15
30/7/2021,Badminton,16
30/7/2021,Badminton,17
30/7/2021,Badminton,18
30/7/2021,Badminton,19
30/7/2021,Badminton,20
31/7/2021,Badminton,9
31/7/2021,Badminton,10
31/7/2021,Badminton,11
31/7/2021,Badminton,12
31/7/2021,Badminton,13
31/7/2021,Badminton,14
31/7/2021,Badminton,15
31/7/2021,Badminton,18
31/7/2021,Badminton,19
31/7/2021,Badminton,20
31/7/2021,Badminton,21
1/8/2021,Badminton,13
1/8/2021,Badminton,14
1/8/2021,Badminton,20
1/8/2021,Badminton,21
1/8/2021,Badminton,22
2/8/2021,Badminton,13
2/8/2021,Badminton,14
2/8/2021,Badminton,20
2/8/2021,Badminton,21
21/7/2021,Baseball/Softball,12
21/7/2021,Baseball/Softball,13
21/7/2021,Baseball/Softball,15
21/7/2021,Baseball/Softball,16
21/7/2021,Baseball/Softball,17
21/7/2021,Baseball/Softball,18
21/7/2021,Baseball/Softball,19
22/7/2021,Baseball/Softball,9
22/7/2021,Baseball/Softball,10
22/7/2021,Baseball/Softball,12
22/7/2021,Baseball/Softball,13
22/7/2021,Baseball/Softball,14
